               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.030391,            0.014753,           0.0038341,             0.98802,             0.98529,              0.9893,             0.83309,            0.028132,           0.0080771,          0.00083625,            0.007492,            0.007492,            0.007492
                  78,            0.030147,            0.015282,           0.0037132,             0.98807,             0.98815,             0.98913,             0.79822,            0.027923,           0.0082202,          0.00074425,            0.007459,            0.007459,            0.007459
                  79,            0.029657,            0.015134,           0.0034722,              0.9833,             0.98471,             0.98923,             0.80746,            0.028658,           0.0084128,           0.0008086,            0.007426,            0.007426,            0.007426
                  80,            0.028939,            0.014258,           0.0037602,             0.98138,             0.98861,             0.98769,              0.8238,            0.028826,           0.0086043,          0.00088147,            0.007393,            0.007393,            0.007393
                  81,            0.029204,            0.015045,           0.0036364,              0.9797,               0.989,              0.9893,              0.8168,            0.028352,           0.0081722,          0.00082189,             0.00736,             0.00736,             0.00736
                  82,            0.030131,            0.015024,           0.0034359,             0.98955,             0.98422,             0.98706,             0.78755,             0.02999,           0.0084268,          0.00090822,            0.007327,            0.007327,            0.007327
                  83,            0.029644,            0.014626,            0.003115,             0.98391,             0.98487,               0.993,             0.79117,            0.027698,            0.008433,           0.0009648,            0.007294,            0.007294,            0.007294
                  84,            0.029174,            0.015465,           0.0042589,              0.9868,             0.99366,             0.99241,             0.78833,            0.028761,           0.0082541,          0.00072346,            0.007261,            0.007261,            0.007261
                  85,            0.030255,            0.015164,           0.0032678,             0.93393,             0.97825,             0.99191,             0.81368,            0.029617,           0.0082041,          0.00096938,            0.007228,            0.007228,            0.007228
                  86,            0.029817,            0.015363,           0.0034589,             0.98408,             0.99101,             0.99072,             0.81309,            0.028169,           0.0082322,          0.00077551,            0.007195,            0.007195,            0.007195
                  87,            0.029746,            0.014225,           0.0036667,             0.89913,             0.94326,             0.99057,             0.81288,            0.028355,           0.0083669,           0.0020026,            0.007162,            0.007162,            0.007162
                  88,            0.030003,            0.014684,           0.0033968,             0.98919,              0.9846,             0.99037,              0.8253,            0.028217,           0.0079633,           0.0007694,            0.007129,            0.007129,            0.007129
                  89,            0.029837,            0.014999,           0.0034083,             0.98836,             0.98697,              0.9907,             0.81652,             0.02806,           0.0083679,          0.00077872,            0.007096,            0.007096,            0.007096
                  90,            0.028839,            0.014497,           0.0034959,             0.99049,             0.97837,             0.98869,             0.78619,            0.028315,           0.0079214,          0.00074536,            0.007063,            0.007063,            0.007063
                  91,            0.029358,            0.014182,            0.003812,             0.96533,             0.97361,             0.97687,             0.77486,            0.029524,           0.0081065,           0.0011015,             0.00703,             0.00703,             0.00703
                  92,            0.028779,            0.014445,            0.003037,             0.97608,             0.96647,             0.98545,             0.81535,            0.028994,           0.0088418,          0.00087176,            0.006997,            0.006997,            0.006997
                  93,            0.029518,             0.01528,            0.003364,             0.97152,             0.98697,             0.98686,             0.80379,            0.028319,           0.0085139,          0.00098241,            0.006964,            0.006964,            0.006964
                  94,            0.028725,            0.014471,           0.0030518,             0.98599,             0.98697,             0.99189,             0.79765,            0.028691,           0.0088853,          0.00077149,            0.006931,            0.006931,            0.006931
